Fecha,Valor
1/1/1950,265.5
2/1/1950,324.4
3/1/1950,339.4
4/1/1950,534.8
5/1/1950,803.7
6/1/1950,880.2
7/1/1950,1187.8
8/1/1950,632
9/1/1950,864.4
10/1/1950,561.3
11/1/1950,717
12/1/1950,581.2
1/1/1951,248.2
2/1/1951,443.3
3/1/1951,153.1
4/1/1951,444.8
5/1/1951,695.9
6/1/1951,924.4
7/1/1951,478.2
8/1/1951,835.8
9/1/1951,606.2
10/1/1951,1135.3
11/1/1951,694.2
12/1/1951,346.6
1/1/1952,218.8
2/1/1952,269.8
3/1/1952,390.9
4/1/1952,598.9
5/1/1952,699.7
6/1/1952,771.2
7/1/1952,771.6
8/1/1952,728.2
9/1/1952,735.2
10/1/1952,939.8
11/1/1952,451.2
12/1/1952,357.8
1/1/1953,299.4
2/1/1953,252.4
3/1/1953,118.6
4/1/1953,495.1
5/1/1953,535
6/1/1953,710.6
7/1/1953,767.1
8/1/1953,515.4
9/1/1953,500
10/1/1953,598
11/1/1953,545.2
12/1/1953,421.3
1/1/1954,374
2/1/1954,142.8
3/1/1954,340.4
4/1/1954,748.6
5/1/1954,704.6
6/1/1954,857.1
7/1/1954,824
8/1/1954,938.8
9/1/1954,566
10/1/1954,526.6
11/1/1954,373.4
12/1/1954,287.8
1/1/1955,388
2/1/1955,251.1
3/1/1955,432.8
4/1/1955,407.4
5/1/1955,663.1
6/1/1955,846.8
7/1/1955,1092.9
8/1/1955,735.5
9/1/1955,608.8
10/1/1955,510.9
11/1/1955,559.4
12/1/1955,290.2
1/1/1956,538.1
2/1/1956,278.6
3/1/1956,226.4
4/1/1956,496.2
5/1/1956,763.9
6/1/1956,759.4
7/1/1956,1098.8
8/1/1956,672.6
9/1/1956,894.2
10/1/1956,563.7
11/1/1956,442.2
12/1/1956,255.6
1/1/1957,175.9
2/1/1957,163.5
3/1/1957,199.9
4/1/1957,284.4
5/1/1957,427.1
6/1/1957,825.5
7/1/1957,931.3
8/1/1957,639.4
9/1/1957,635.8
10/1/1957,573.8
11/1/1957,418.9
12/1/1957,222.3
1/1/1958,247.6
2/1/1958,189
3/1/1958,383.7
4/1/1958,451.6
5/1/1958,482.4
6/1/1958,701.4
7/1/1958,648
8/1/1958,600.1
9/1/1958,584.1
10/1/1958,568
11/1/1958,342
12/1/1958,187.3
1/1/1959,129
2/1/1959,80.2
3/1/1959,294.4
4/1/1959,448.8
5/1/1959,401.1
6/1/1959,623.3
7/1/1959,804.1
8/1/1959,599.9
9/1/1959,746.5
10/1/1959,588.4
11/1/1959,404.2
12/1/1959,377
1/1/1960,219.1
2/1/1960,229.6
3/1/1960,233.4
4/1/1960,496.1
5/1/1960,643.6
6/1/1960,637.7
7/1/1960,716
8/1/1960,512.4
9/1/1960,503.6
10/1/1960,466.4
11/1/1960,485.5
12/1/1960,230.3
1/1/1961,126.8
2/1/1961,89.6
3/1/1961,244.9
4/1/1961,459.7
5/1/1961,515.5
6/1/1961,814.6
7/1/1961,784.4
8/1/1961,552.7
9/1/1961,809.1
10/1/1961,615.6
11/1/1961,372.9
12/1/1961,368.6
1/1/1962,199.4
2/1/1962,158.3
3/1/1962,328.4
4/1/1962,556.4
5/1/1962,639.3
6/1/1962,807.1
7/1/1962,834.5
8/1/1962,731.7
9/1/1962,509.7
10/1/1962,384.1
11/1/1962,386.4
12/1/1962,213.6
1/1/1963,128
2/1/1963,204.7
3/1/1963,349.1
4/1/1963,433.2
5/1/1963,595.4
6/1/1963,755.5
7/1/1963,860.2
8/1/1963,588.1
9/1/1963,898.9
10/1/1963,395.5
11/1/1963,506.7
12/1/1963,211.1
1/1/1964,96.8
2/1/1964,245
3/1/1964,336.6
4/1/1964,535
5/1/1964,464.8
6/1/1964,937.1
7/1/1964,1144.3
8/1/1964,952.2
9/1/1964,606.4
10/1/1964,362.7
11/1/1964,336
12/1/1964,162.9
1/1/1965,244.1
2/1/1965,193.7
3/1/1965,200.3
4/1/1965,116.1
5/1/1965,243.3
6/1/1965,273.3
7/1/1965,469.7
8/1/1965,389.4
9/1/1965,375.1
10/1/1965,281.7
11/1/1965,298.4
12/1/1965,212.3
1/1/1966,141.9
2/1/1966,72
3/1/1966,154.4
4/1/1966,323.5
5/1/1966,333.2
6/1/1966,297
7/1/1966,350.8
8/1/1966,366
9/1/1966,346
10/1/1966,277.6
11/1/1966,240.7
12/1/1966,144
1/1/1967,162.4
2/1/1967,180.5
3/1/1967,79.4
4/1/1967,235.6
5/1/1967,418.2
6/1/1967,750
7/1/1967,595.8
8/1/1967,505.7
9/1/1967,450.3
10/1/1967,460.2
11/1/1967,276.4
12/1/1967,208.3
1/1/1968,52.4
2/1/1968,191.4
3/1/1968,292.8
4/1/1968,244.7
5/1/1968,558.3
6/1/1968,524.6
7/1/1968,769
8/1/1968,689.7
9/1/1968,425.7
10/1/1968,439.4
11/1/1968,365.2
12/1/1968,253.8
1/1/1969,131.6
2/1/1969,282
3/1/1969,341.7
4/1/1969,416.7
5/1/1969,532.7
6/1/1969,651
7/1/1969,559.8
8/1/1969,629.7
9/1/1969,398.5
10/1/1969,415.6
11/1/1969,367.1
12/1/1969,501.2
1/1/1970,304.7
2/1/1970,209.2
3/1/1970,637.4
4/1/1970,481.5
5/1/1970,852
6/1/1970,698.6
7/1/1970,806.7
8/1/1970,857.1
9/1/1970,589.7
10/1/1970,397.4
11/1/1970,363.6
12/1/1970,409.8
1/1/1971,274.6
2/1/1971,578.7
3/1/1971,695.9
4/1/1971,449.2
5/1/1971,619.5
6/1/1971,738.1
7/1/1971,957
8/1/1971,819.4
9/1/1971,927.2
10/1/1971,987.5
11/1/1971,586.5
12/1/1971,215.8
1/1/1972,320.8
2/1/1972,250.2
3/1/1972,281.7
4/1/1972,300.8
5/1/1972,734.8
6/1/1972,646
7/1/1972,520
8/1/1972,621.2
9/1/1972,636.4
10/1/1972,643.1
11/1/1972,476.5
12/1/1972,229.7
1/1/1973,185.7
2/1/1973,88.8
3/1/1973,321.8
4/1/1973,490.2
5/1/1973,862
6/1/1973,722.3
7/1/1973,904.4
8/1/1973,646.4
9/1/1973,565.2
10/1/1973,480.7
11/1/1973,630.9
12/1/1973,462.4
1/1/1974,312.3
2/1/1974,245.6
3/1/1974,327.3
4/1/1974,575.6
5/1/1974,501.9
6/1/1974,737.4
7/1/1974,841.2
8/1/1974,1567.8
9/1/1974,827.1
10/1/1974,835.2
11/1/1974,453.1
12/1/1974,195.1
1/1/1975,228.7
2/1/1975,256.2
3/1/1975,374.1
4/1/1975,357.3
5/1/1975,817.3
6/1/1975,837.6
7/1/1975,513.3
8/1/1975,804.3
9/1/1975,714.4
10/1/1975,849.8
11/1/1975,671.6
12/1/1975,391.3
1/1/1976,204.4
2/1/1976,162.5
3/1/1976,188.9
4/1/1976,316.2
5/1/1976,572.8
6/1/1976,864.4
7/1/1976,745.2
8/1/1976,493.8
9/1/1976,511
10/1/1976,355.3
11/1/1976,366.4
12/1/1976,281
1/1/1977,243.7
2/1/1977,284.3
3/1/1977,409
4/1/1977,569.4
5/1/1977,739.7
6/1/1977,837.9
7/1/1977,744.1
8/1/1977,820.3
9/1/1977,713.1
10/1/1977,699.9
11/1/1977,653.2
12/1/1977,345.2
1/1/1978,188.3
2/1/1978,270
3/1/1978,370.6
4/1/1978,603.5
5/1/1978,877.9
6/1/1978,613.7
7/1/1978,761.6
8/1/1978,910.8
9/1/1978,643.4
10/1/1978,558.8
11/1/1978,434.8
12/1/1978,391.8
1/1/1979,163.1
2/1/1979,288.1
3/1/1979,282.2
4/1/1979,629.8
5/1/1979,449.2
6/1/1979,710.7
7/1/1979,653.1
8/1/1979,750.7
9/1/1979,587.4
10/1/1979,637.9
11/1/1979,362
12/1/1979,290.6
1/1/1980,283.3
2/1/1980,139.1
3/1/1980,194.7
4/1/1980,613.4
5/1/1980,872.5
6/1/1980,643.5
7/1/1980,484
8/1/1980,510
9/1/1980,519.5
10/1/1980,704.2
11/1/1980,788.8
12/1/1980,227.3
1/1/1981,156.1
2/1/1981,294.8
3/1/1981,418.5
4/1/1981,479.9
5/1/1981,405.1
6/1/1981,844.2
7/1/1981,896.5
8/1/1981,624.7
9/1/1981,545.9
10/1/1981,508.4
11/1/1981,542.3
12/1/1981,519.2
1/1/1982,196.9
2/1/1982,188.5
3/1/1982,283.9
4/1/1982,325.1
5/1/1982,639.3
6/1/1982,417.1
7/1/1982,898.3
8/1/1982,394.8
9/1/1982,742.4
10/1/1982,507.9
11/1/1982,210.4
12/1/1982,201.3
1/1/1983,117.5
2/1/1983,147.7
3/1/1983,402.6
4/1/1983,268.6
5/1/1983,533
6/1/1983,556.5
7/1/1983,644.8
8/1/1983,597.8
9/1/1983,1127.4
10/1/1983,436
11/1/1983,547.8
12/1/1983,416.2
1/1/1984,262.1
2/1/1984,386.4
3/1/1984,273.8
4/1/1984,394.2
5/1/1984,368.8
6/1/1984,818.8
7/1/1984,642.1
8/1/1984,757.1
9/1/1984,601.6
10/1/1984,911.8
11/1/1984,414.3
12/1/1984,270.7
1/1/1985,192.3
2/1/1985,190.4
3/1/1985,225.1
4/1/1985,297.6
5/1/1985,600.5
6/1/1985,630
7/1/1985,524.4
8/1/1985,743.5
9/1/1985,477.8
10/1/1985,484
11/1/1985,287.6
12/1/1985,295.4
1/1/1986,321.1
2/1/1986,165.3
3/1/1986,251.3
4/1/1986,405.9
5/1/1986,433.1
6/1/1986,575.7
7/1/1986,491.7
8/1/1986,591.6
9/1/1986,617.6
10/1/1986,424.4
11/1/1986,339
12/1/1986,288.5
1/1/1987,159.9
2/1/1987,189.2
3/1/1987,282.6
4/1/1987,586
5/1/1987,428.1
6/1/1987,781.3
7/1/1987,843.7
8/1/1987,473.5
9/1/1987,593.7
10/1/1987,520.2
